#header line: GPU processors,avg,error_bar,run1,run2,run3,... runN
1,258.385,0.909,257.700,259.517,257.939
4,64.609,0.125,64.453,64.704,64.672
8,32.488,0.322,32.914,32.270,32.281
12,22.057,0.371,22.009,21.710,22.453
16,16.524,0.139,16.661,16.528,16.382
20,13.537,0.208,13.600,13.714,13.298
24,11.350,0.140,11.402,11.184,11.463
28,10.641,0.107,10.734,10.668,10.521
32,9.297,0.183,9.528,9.163,9.200
36,8.523,0.228,8.587,8.719,8.264
40,7.586,0.040,7.622,7.592,7.542
44,7.009,0.014,7.009,6.995,7.023
48,6.595,0.238,6.904,6.452,6.428
