#header line: GPU processors,avg,error_bar,run1,run2,run3,... runN
1,258.385,0.909,257.700,259.517,257.939
4,257.352,0.221,257.451,257.081,257.524
8,265.943,4.107,268.671,268.686,260.472
12,260.462,1.606,262.583,259.432,259.370
16,268.823,9.685,262.547,262.276,281.645
20,269.131,4.945,275.113,267.059,265.222
24,277.607,11.841,271.601,292.451,268.769
28,290.909,1.158,291.084,291.980,289.664
32,299.985,2.857,299.231,303.218,297.505
36,303.037,4.396,307.688,298.896,302.529
40,308.235,2.410,310.297,308.932,305.478
44,315.954,5.309,322.208,314.065,311.589
48,312.985,3.638,312.932,309.374,316.650
