#header line: GPU processors,avg,error_bar,run1,run2,run3,... runN
1,2572.897,1.933,2573.715,2574.422,2570.556
4,646.891,2.512,648.812,643.788,648.074
8,324.111,0.402,324.518,323.715,324.100
12,220.044,5.036,226.284,216.212,217.637
16,166.600,3.067,165.851,170.042,163.907
20,133.638,0.842,134.742,133.114,133.057
24,113.990,2.126,114.771,111.473,115.725
28,104.795,0.740,105.413,103.932,105.039
32,93.829,2.763,97.454,91.928,92.106
36,83.749,2.124,86.385,82.137,82.725
40,77.978,1.763,79.347,75.821,78.767
44,70.254,0.380,69.826,70.585,70.350
48,65.947,1.601,64.705,65.230,67.907
